Hamilton Downtown (29000) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Nitrogen Dioxide [NO2] Concentrations ,,,,,,,,,,,,,,,,,,,,,,,,,,
From,January 1 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
To,December 31 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Hamilton Downtown (29000),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Elgin St./kelly St.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.257778,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.861667,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,4 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,90 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Dioxide [NO2],,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, -999 for missing data. 9999 for invalid data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Nitrogen Dioxide,2014-03-26,4,4,6,7,8,10,14,10,5,5,4,4,4,4,5,5,5,5,8,9,10,14,14,12
29000,Nitrogen Dioxide,2014-03-27,13,9,9,9,10,15,13,10,8,7,8,8,7,7,8,10,10,13,18,24,9,12,21,18
29000,Nitrogen Dioxide,2014-03-28,10,8,6,6,10,11,10,10,9,8,7,6,5,6,6,7,8,9,8,6,-999,-999,6,8
29000,Nitrogen Dioxide,2014-03-29,7,8,14,8,16,10,11,11,19,14,11,13,12,13,16,18,19,13,10,11,15,11,12,16
29000,Nitrogen Dioxide,2014-03-30,15,5,3,4,3,4,4,5,6,4,4,3,4,3,3,3,3,6,8,11,8,9,13,13
29000,Nitrogen Dioxide,2014-03-31,13,13,14,15,21,33,33,26,22,21,19,20,20,18,19,20,20,21,24,23,15,20,20,29
29000,Nitrogen Dioxide,2014-04-01,37,35,31,27,30,29,26,23,19,21,19,15,11,11,12,9,8,15,23,24,10,8,5,4
29000,Nitrogen Dioxide,2014-04-02,5,5,4,4,6,11,13,10,6,4,4,4,4,4,4,5,5,5,7,5,8,6,6,6
29000,Nitrogen Dioxide,2014-04-03,14,15,9999,22,20,25,29,21,18,17,13,14,16,21,21,16,23,17,13,14,14,14,14,15
29000,Nitrogen Dioxide,2014-04-04,13,12,11,12,10,11,14,17,15,13,15,17,11,15,15,12,24,30,14,7,4,5,5,5
29000,Nitrogen Dioxide,2014-04-05,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,8,10,10,7
29000,Nitrogen Dioxide,2014-04-06,10,18,26,28,30,32,28,21,12,4,3,3,2,2,2,3,4,4,5,9,13,23,26,21
29000,Nitrogen Dioxide,2014-04-07,28,26,19,19,14,19,20,25,14,14,16,17,17,18,17,16,18,21,16,13,15,16,16,14
29000,Nitrogen Dioxide,2014-04-08,7,5,5,7,8,8,12,13,12,8,8,7,8,6,8,5,4,6,8,9,11,12,9,8
29000,Nitrogen Dioxide,2014-04-09,6,9,12,8,12,19,11,12,8,7,5,6,3,3,3,3,4,5,6,9,11,7,6,6
29000,Nitrogen Dioxide,2014-04-10,6,6,6,5,6,9,8,7,7,5,4,4,4,4,4,4,5,4,4,6,7,6,5,6
29000,Nitrogen Dioxide,2014-04-11,5,6,7,7,11,17,24,26,19,18,18,15,9,8,10,11,11,14,15,22,15,22,14,8
29000,Nitrogen Dioxide,2014-04-12,11,10,11,7,8,13,15,17,11,12,19,15,16,12,12,14,16,16,15,22,13,6,8,13
29000,Nitrogen Dioxide,2014-04-13,9,10,12,7,6,8,10,17,9,11,18,16,22,4,3,3,3,3,3,3,4,4,5,5
29000,Nitrogen Dioxide,2014-04-14,5,3,3,3,7,7,7,7,6,4,3,3,4,5,5,4,4,5,4,4,4,3,3,2
29000,Nitrogen Dioxide,2014-04-15,3,3,3,3,4,6,7,9,9,6,5,6,4,5,6,5,4,2,3,3,4,8,6,6
29000,Nitrogen Dioxide,2014-04-16,6,7,7,8,11,21,15,9,7,5,4,3,3,3,4,3,3,3,4,5,7,14,20,21
29000,Nitrogen Dioxide,2014-04-17,17,11,13,16,14,16,20,13,13,11,11,10,11,10,10,8,11,13,10,7,6,8,14,18
29000,Nitrogen Dioxide,2014-04-18,23,25,27,29,25,24,18,12,7,6,6,7,7,7,9,17,5,3,5,5,5,5,5,7
29000,Nitrogen Dioxide,2014-04-19,5,8,7,8,9,10,8,5,4,7,9,9,13,12,15,14,11,18,18,13,11,10,9,11
29000,Nitrogen Dioxide,2014-04-20,19,15,9,16,11,8,9,11,13,12,13,12,14,16,18,22,22,15,17,16,19,18,12,14
29000,Nitrogen Dioxide,2014-04-21,20,27,26,25,24,24,23,23,9,6,5,4,4,4,4,4,4,6,9,21,34,19,13,4
29000,Nitrogen Dioxide,2014-04-22,5,4,5,4,5,6,9,10,10,8,6,5,4,4,4,5,6,5,6,6,6,4,6,4
29000,Nitrogen Dioxide,2014-04-23,4,2,2,2,3,3,4,4,4,3,3,3,2,2,3,2,2,2,3,4,3,4,4,4
29000,Nitrogen Dioxide,2014-04-24,6,4,5,9,12,15,16,14,7,4,4,5,11,10,9,5,4,3,3,5,5,5,9,13
